framing,threshold_level,n,gate_decline_count,gate_decline_pct,gate_suggest_minor_count,gate_suggest_minor_pct,gate_full_revision_count,gate_full_revision_pct,revision_magnitude_mean,revision_magnitude_median,revision_magnitude_std,revision_value_mean,revision_value_median,revision_value_std,threshold_alignment_mean,threshold_alignment_median,threshold_alignment_std,overcorrection_mean,overcorrection_median,overcorrection_std,high_overcorrection_count,high_overcorrection_pct
numeric,0,285,110,38.6,82,28.8,93,32.6,2.26,2.0,1.3,2.06,2.0,1.01,4.4,5.0,0.82,1.57,1.0,0.8,0,0.0
numeric,70,265,128,48.3,39,14.7,98,37.0,2.22,2.0,1.38,1.93,2.0,1.01,4.03,5.0,1.23,1.8,1.0,1.02,15,5.7
numeric,75,257,119,46.3,41,16.0,97,37.7,2.28,2.0,1.4,2.04,2.0,1.08,4.21,5.0,0.94,1.72,1.0,0.89,7,2.7
numeric,80,245,100,40.8,51,20.8,94,38.4,2.3,2.0,1.33,2.1,2.0,1.06,4.26,5.0,0.94,1.66,1.0,0.82,3,1.2
numeric,85,240,93,38.8,58,24.2,89,37.1,2.3,2.0,1.28,2.12,2.0,1.03,4.3,4.0,0.8,1.65,1.0,0.77,3,1.2
numeric,90,240,81,33.8,77,32.1,82,34.2,2.3,2.0,1.25,2.17,2.0,1.02,4.41,5.0,0.74,1.57,1.0,0.72,0,0.0
numeric,95,240,79,32.9,83,34.6,78,32.5,2.27,2.0,1.19,2.16,2.0,0.98,4.59,5.0,0.67,1.42,1.0,0.63,0,0.0
numeric,100,240,98,40.8,64,26.7,78,32.5,2.18,2.0,1.27,2.1,2.0,1.09,4.72,5.0,0.48,1.29,1.0,0.45,0,0.0
qualitative,0,240,88,36.7,61,25.4,91,37.9,2.34,2.0,1.33,2.13,2.0,1.04,4.37,5.0,0.84,1.58,1.0,0.79,0,0.0
qualitative,70,240,106,44.2,55,22.9,79,32.9,2.18,2.0,1.32,1.97,2.0,0.99,4.46,5.0,0.83,1.54,1.0,0.82,4,1.7
qualitative,75,240,101,42.1,54,22.5,85,35.4,2.24,2.0,1.31,2.01,2.0,1.0,4.52,5.0,0.71,1.48,1.0,0.71,0,0.0
qualitative,80,240,110,45.8,45,18.8,85,35.4,2.21,2.0,1.33,2.03,2.0,1.08,4.56,5.0,0.61,1.44,1.0,0.61,0,0.0
qualitative,85,240,87,36.2,59,24.6,94,39.2,2.38,2.0,1.31,2.3,2.0,1.15,4.53,5.0,0.53,1.45,1.0,0.52,0,0.0
qualitative,90,240,82,34.2,73,30.4,85,35.4,2.32,2.0,1.25,2.32,2.0,1.15,4.67,5.0,0.57,1.29,1.0,0.45,0,0.0
qualitative,95,240,79,32.9,65,27.1,96,40.0,2.43,2.0,1.31,2.38,2.0,1.17,4.48,5.0,0.87,1.27,1.0,0.44,0,0.0
qualitative,100,240,84,35.0,71,29.6,85,35.4,2.33,2.0,1.28,2.28,2.0,1.13,4.7,5.0,0.46,1.3,1.0,0.46,0,0.0
