probe_type,n,gate_decline_count,gate_decline_pct,gate_suggest_minor_count,gate_suggest_minor_pct,gate_full_revision_count,gate_full_revision_pct,revision_magnitude_mean,revision_magnitude_median,revision_magnitude_std,revision_value_mean,revision_value_median,revision_value_std,threshold_alignment_mean,threshold_alignment_median,threshold_alignment_std,overcorrection_mean,overcorrection_median,overcorrection_std,high_overcorrection_count,high_overcorrection_pct
leading,1920,1,0.1,571,29.7,1348,70.2,3.33,4.0,0.98,2.96,3.0,0.73,4.03,4.0,0.85,1.94,2.0,0.77,32,1.7
neutral,50,49,98.0,1,2.0,0,0.0,1.02,1.0,0.14,1.02,1.0,0.14,4.72,5.0,0.86,1.12,1.0,0.44,0,0.0
pilot_a,18,0,0.0,15,83.3,3,16.7,2.33,2.0,0.77,2.28,2.0,0.46,4.44,5.0,0.78,1.56,1.0,0.78,0,0.0
pilot_b,24,21,87.5,3,12.5,0,0.0,1.12,1.0,0.34,1.12,1.0,0.34,4.96,5.0,0.2,1.04,1.0,0.2,0,0.0
pilot_c,1920,1474,76.8,388,20.2,58,3.0,1.28,1.0,0.59,1.33,1.0,0.65,4.85,5.0,0.47,1.09,1.0,0.32,0,0.0
